"Project ID","Project Name","Project Manager","Status","Order Name","Customer","Customer Contact Name","End Customer","PO Value","Est. Cost","Est. GM%","Rev. Cost","Rev. GM %","Act. Cost","Act. GM %","# Del.","# Del. Completed","Del Hit Ratio","Invoiced Amt","Receipts","BOM Del (Amt)","BOM Pending (Amt)","BOM (M) - Open Positions","Vendor Invoices","Vendor Payment","# Delayed Tasks","% Tasks on Time","Requirement Volatility","# Change Requests","# Pending Issues","# Client Reported Issues","# Pending HP Issues","Cust. Type","Del. Node","Business Model","Delivery Model","LOB/PF","Industry of Customer","ESD","EED","RSD","RED","ASD","AED","EE","RE","AE","Avg. Actual Weekly Effort","Est. # Res","Rev. # Res","Act. # Res","EMD Amount","PG Amt","# Total Risks","# Open Risks","Total REI","Planned Value","Earned Value","BAC","ETC","EAC","SV %","SPI","CV %","CPI","TCPI","Type","Program ID","Portfolio ID","Domain"
"92","Railtel - Rate Contract","ASHISH","Suspended","","Railtel Corporation of India Limited","","Railtel Corporation of India Limited","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Government Sector","","","","Telecom","","25 May 2015","24 May 2017","25 May 2015","","25 May 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"93","CRIS - LAN Extender","ASHISH","Suspended","","CRIS Network RC","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","1","","","","","Telecom","","03 Apr 2016","02 Jun 2016","27 Oct 2016","","27 Oct 2016","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"94","CRIS ICT Infrastructure","ASHISH","Suspended","","CRIS RWF Bela","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Telecom","","31 Aug 2016","14 Apr 2017","31 Aug 2016","","31 Aug 2016","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"73","BOB ( Bank of Baroda )","ANSHU","Suspended","","Bank of Baroda (FI Deptt.)","","Bank of Baroda (FI Deptt.)","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","14 Nov 2016","30 Dec 2019","30 Nov 2015","","31 Dec 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"83","Financial Inclusion","AMAR","Open","","Bank of Baroda (FI Deptt.)","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","13 Dec 2015","29 Nov 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"12","Supply Installation Training Comprehensive","AKMAL","Open","","JAIPUR DEVELOPMENT AUTHORITY","","East Delhi Municipal Corporation - EDMC","","158,558,450","-27.12","158,558,450","-27.12","101,072,600","-693.08","259","199","","","","","","","","","","","","","47","0","0","zOthers","","","","Education","","19 May 2015","14 Jan 2016","19 May 2015","22 Jul 2020","19 May 2015","","0","","0","","","","","","","","","","","","","","","","","","","","BOOT","","133",""
"84","UID UP & UK","Adam","Suspended","","Ricoh India LImited","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","15 Apr 2014","31 Aug 2015","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"85","UID UP & UK","Adam","Suspended","","Ricoh India LImited","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","15 Apr 2014","31 Aug 2015","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"86","UID UP & UK","Adam","Suspended","","Ricoh India LImited","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","15 Apr 2014","31 Aug 2015","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"87","UID UP & UK","Adam","Suspended","","Ricoh India LImited","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Smart Governance","","15 Apr 2014","31 Aug 2015","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"36","OS OJT Manpower Outsourcing","ABIR","Suspended","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"37","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"38","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"39","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"40","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"41","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"42","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"43","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"45","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"46","OS OJT Manpower Outsourcing","ABIR","Closed","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"50","ATM Installation & Maintenance","ABIR","Suspended","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","17 Feb 2014","01 Jan 2018","","","17 Feb 2014","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project - O and M","","",""
"52","OS OJT Manpower","ABIR","Suspended","","NCR Corporation India Pvt.Ltd","","NCR Corporation India Pvt.Ltd","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","Distribution & Others","","09 Jul 2016","10 Jul 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","","",""
"4","ERNET","","Suspended","","","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Education","","19 Feb 2016","27 Feb 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"5","ICT","","Closed","","","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Education","","20 Feb 2016","28 Feb 2017","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"31","CEG KARNATKA","","Suspended","","Ricoh India LImited","","CEG Karnatka","","0","0","0","0","0","0","30","30","","","","","","","","","","","","","47","0","1","","","","","BFSI","","16 Oct 2015","16 Oct 2018","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"33","ICT ODISHA","","Suspended","","","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"35","ICT ODISHA","","Suspended","","","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Education","","03 Jun 2016","03 Jun 2016","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
"67","Desktop Installtion","","Suspended","","DMRC","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","zOthers","","","","BFSI","","26 Apr 2016","26 Apr 2018","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOT","","",""
"78","FDS PMO Rollout","","Suspended","","Department of Information Technology & Comm.","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","1","","","","","BFSI","","18 Aug 2015","30 Mar 2017","","","25 Aug 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Contract Project Only","138","63",""
"100","CNBC","","Suspended","","Ricoh India LImited","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","Healthcare","","29 Jan 2015","27 Feb 2017","","","29 Jan 2015","","0","","0","","","","","","","","","","","","","","","","","","","","BOOT","","",""
"119","Healthcare Project - Technical","","Open","","Federal Institute for Vocational Education and Training (BIBB)","","Federal Institute for Vocational Education and Training (BIBB)","","23,222,930,289","40.67","23,222,930,289","40.67","23,206,030,290","40.71","1,898","0","","","","","","","","","","","","","47","0","0","","","","","Education","","10 Dec 2015","08 May 2016","10 Dec 2015","30 Mar 2018","10 Dec 2015","","0","","0","","","","","","","","","","","","","","","","","","","","Z-Others","138","63",""
"122","SAP Implementation Phase1","","Open","","SB-Godrej","","Army - Signals","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","Corporate","","","","BFSI","","13 Mar 2017","30 Mar 2018","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOOT","121","131",""
"126","SAP implementation phase3","","Suspended","","AIG BADAUN","","AIG BADAUN","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","BFSI","","13 Mar 2017","13 Mar 2018","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOOT","121","131",""
"127","SAP Implementation phase2","","Suspended","","DMRC","","Army - Signals","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","zOthers","","","","BFSI","","12 Mar 2018","13 Mar 2019","","","","","0","","0","","","","","","","","","","","","","","","","","","","","BOLT","121","131",""
"151","CII conference at 8th oct","","Closed","","","","","","0","0","0","0","0","0","0","0","","","","","","","","","","","","","47","0","0","","","","","","","12 Sep 2015","06 Oct 2015","","","","","0","","0","","","","","","","","","","","","","","","","","","","","","","",""
